ID,AUTHOR,WORK,LOCATION,TEXT,Vm,VM_LEMMA,VM_PERSONAL,VM_MOD,Vinf,VINF_A,VINF_B,VINF_C,VINF_D,Vinf_Cop,Obj,OBJ_A,OBJ_B,OBJ_C,Pred,PRED_A,PRED_B,PRED_C,PRED_D,PRED_E,PRED_F,PRED_G,Attr,Attr_B,CHECK,Anot,DIST_OBJ_PRED,GENRE,DIALECT
443,Antiphon (0028),On the Murder of Herodes (005),61.2,"ἐξὸν γὰρ αὐτῷ ἐν ἀγῶνι καὶ κινδύνῳ μεγάλῳ καταστήσαντι μετὰ τῶν νόμων τῶν ὑμετέρων ἀπολέσαι ἐκεῖνον, εἴπερ προωφείλετο αὐτῷ κακόν, καὶ τό τε ἴδιον τὸ αὑτοῦ διαπράξασθαι καὶ τῇ πόλει τῇ ὑμετέρᾳ χάριν καταθέσθαι, εἰ ἐπέδειξεν ἀδικοῦντα ἐκεῖνον, οὐκ ἠξίωσεν, ἀλλ’ οὐδ’ ἦλθεν ἐπὶ τοῦτον.",ἐξὸν,ἔξεστι,FALSE,TRUE,ἀπολέσαι,ἀπολέσαι,NA,NA,NA,FALSE,αὐτῷ,αὐτῷ,NA,NA,καταστήσαντι,καταστήσαντι,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,Condicional?,6,juridical,attic
446,Antiphon (0028),First Tetralogy (002),2.13.5,"δέομαι δ’ ὑμῶν, ὦ ἄνδρες, τῶν μεγίστων κριταὶ καὶ κύριοι, ἐλεήσαντας τὴν ἀτυχίαν μου ἰατροὺς γενέσθαι αὐτῆς, καὶ μὴ συνεπιβάντας τῇ τούτων ἐπιθέσει περιιδεῖν ἀδίκως καὶ ἀθέως διαφθαρέντα με ὑπ’ αὐτῶν.",δέομαι,δέομαι,TRUE,FALSE,γενέσθαι. Περιιδεῖν,γενέσθαι. Περιιδεῖν,NA,NA,NA,TRUE,ὑμῶν,ὑμῶν,NA,NA,"ἐλεήσαντας, ἰατροὺς, συνεπιβάντας",ἐλεήσαντας,ἰατροὺς,συνεπιβάντας,NA,NA,NA,NA,FALSE,FALSE,FALSE,Parte do pedido?,8,juridical,attic
451,Antiphon (0028),Second Tetralogy (003),2.1.4,"ὑπὸ δὲ σκληρᾶς ἀνάγκης βιαζόμενος, καὶ αὐτὸς εἰς τὸν ὑμέτερον ἔλεον, ὦ ἄνδρες δικασταί, καταπεφευγὼς δέομαι ὑμῶν, ἐὰν ἀκριβέστερον ἢ ὡς σύνηθες ὑμῖν δόξω εἰπεῖν, μὴ διὰ τὰς προειρημένας τύχας δυσχερῶς ἀποδεξαμένους μου τὴν ἀπολογίαν δόξῃ καὶ μὴ ἀληθείᾳ τὴν κρίσιν ποιήσασθαι·",δέομαι,δέομαι,TRUE,FALSE,ποιήσασθαι,ποιήσασθαι,NA,NA,NA,FALSE,ὑμῶν,ὑμῶν,NA,NA,ἀποδεξαμένους,ἀποδεξαμένους,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,Estranho,15,juridical,attic
453,Antiphon (0028),Second Tetralogy (003),3.3.4,"ἐγὼ δὲ δράσας μὲν οὐδὲν κακόν, παθὼν δὲ ἄθλια καὶ δεινά, καὶ νῦν ἔτι δεινότερα τούτων, ἔργῳ καὶ οὐ λόγῳ εἰς τὸν ὑμέτερον ἔλεον καταπεφευγὼς δέομαι ὑμῶν, ὦ ἄνδρες ἀνοσίων ἔργων τιμωροί, ὁσίων δὲ διαγνώμονες, μὴ παρ’ ἔργα φανερὰ ὑπὸ πονηρᾶς λόγων ἀκριβείας πεισθέντας ψευδῆ τὴν ἀλήθειαν τῶν πραχθέντων ἡγήσασθαι·",δέομαι,δέομαι,TRUE,FALSE,ἡγήσασθαι,ἡγήσασθαι,NA,NA,NA,FALSE,ὑμῶν,ὑμῶν,NA,NA,πεισθέντας,πεισθέντας,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,Comparar com outras frases de Antiphon,17,juridical,attic
473,Antiphon (0028),Third Tetralogy (004),3.7.3,"ἡμεῖς δὲ τόν <τε> θάνατον φανερὸν ἀποδεικνύντες, τήν τε πληγὴν ὁμολογουμένην ἐξ ἧς ἀπέθανε, τόν τε νόμον εἰς τὸν πατάξαντα τὸν φόνον ἀνάγοντα, ἀντὶ τοῦ παθόντος ἐπισκήπτομεν ὑμῖν, τῷ τούτου φόνῳ τὸ μήνιμα τῶν ἀλιτηρίων ἀκεσαμένους πᾶσαν τὴν πόλιν καθαρὰν τοῦ μιάσματος καταστῆσαι.",ἐπισκήπτομεν,ἐπισκήπτω,TRUE,FALSE,καταστῆσαι,καταστῆσαι,NA,NA,NA,FALSE,ὑμῖν,ὑμῖν,NA,NA,ἀκεσαμένους,ἀκεσαμένους,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,Vírgula curiosa,8,juridical,attic
474,Antiphon (0028),Third Tetralogy (004),4.10.1,"οὑτωσὶ δὲ ἐκ παντὸς τρόπου τῶν ἐγκλημάτων ἀπολυομένου τοῦ ἀνδρός, ἡμεῖς ὁσιώτερον ὑμῖν ἐπισκήπτομεν ὑπὲρ αὐτοῦ, μὴ τὸν φονέα ζητοῦντας κολάζειν τὸν καθαρὸν ἀποκτείνειν.",ἐπισκήπτομεν,ἐπισκήπτω,TRUE,FALSE,ἀποκτείνειν,ἀποκτείνειν,NA,NA,NA,FALSE,ὑμῖν,ὑμῖν,NA,NA,ζητοῦντας,ζητοῦντας,NA,NA,NA,NA,NA,NA,FALSE,NA,TRUE,Condicional?,7,juridical,attic
495,Antiphon (0028),Third Tetralogy (004),3.t.2,"τοῦτόν τε οὐ θαυμάζω ἀνόσια δράσαντα ὅμοια οἷς εἴργασται λέγειν, ὑμῖν τε συγγιγνώσκω βουλομένοις τὴν ἀκρίβειαν τῶν πραχθέντων μαθεῖν τοιαῦτα ἀνέχεσθαι ἀκούοντας αὐτοῦ, ἃ ἐκβάλλεσθαι ἄξιά ἐστι.",συγγιγνώσκω,συγγιγνώσκω,TRUE,FALSE,ἀνέχεσθαι,ἀνέχεσθαι,NA,NA,NA,FALSE,ὑμῖν... βουλομένοις,ὑμῖν... βουλομένοις,NA,NA,ἀκούοντας,ἀκούοντας,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,CHECAR DETALHES,8,juridical,attic
2219,Aristophanes (0019),Lysistrata (007),524,μετὰ ταῦθ’ ἡμῖν εὐθὺς ἔδοξεν σῶσαι τὴν Ἑλλάδα κοινῇ ταῖσι γυναιξὶν συλλεχθείσαις.,ἔδοξεν,δοκέω,FALSE,FALSE,σῶσαι,σῶσαι,NA,NA,NA,FALSE,ἡμῖν,ἡμῖν,NA,NA,ταῖσι γυναιξὶν συλλεχθείσαις,ταῖσι γυναιξὶν συλλεχθείσαις,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE,"A forma é parentética: ""nós, mulheres reunidas""",7,drama,attic
2278,Aristophanes (0019),Thesmophoriazusae (008),352,"ξυνευχόμεσθα τέλεα μὲν πόλει τέλεα δὲ δήμῳ τάδ’ εὔγματα γενέσθαι, τὰ δ’ ἄρισθ’ ὅσαις προσήκει νικᾶν λεγούσαις·",προσήκει,προσήκω,FALSE,TRUE,νικᾶν,νικᾶν,NA,NA,NA,FALSE,ὅσαις,ὅσαις,NA,NA,λεγούσαις,λεγούσαις,NA,NA,NA,NA,NA,NA,TRUE,NA,FALSE,NA,3,drama,attic
2537,Demosthenes (0014),On the Public Fund (013),1.1,"περὶ μὲν τοῦ παρόντος ἀργυρίου καὶ ὧν ἕνεκα τὴν ἐκκλησίαν ποιεῖσθ’, ὦ ἄνδρες Ἀθηναῖοι, οὐδέτερόν μοι δοκεῖ τῶν χαλεπῶν εἶναι, οὔτ’ ἐπιτιμήσαντα τοῖς νέμουσι καὶ διδοῦσι τὰ κοινὰ εὐδοκιμῆσαι παρὰ τοῖς βλάπτεσθαι διὰ τούτων ἡγουμένοις τὴν πόλιν, οὔτε συνειπόντα καὶ παραινέσανθ’ ὡς δεῖ λαμβάνειν, χαρίσασθαι τοῖς σφόδρ’ ἐν χρείᾳ τοῦ λαβεῖν οὖσιν·",δοκεῖ,δοκέω,FALSE,FALSE,"εὐδοκιμῆσαι, χαρίσασθαι",εὐδοκιμῆσαι,χαρίσασθαι,NA,NA,FALSE,μοι,μοι,NA,NA,"ἐπιτιμήσαντα, συνειπόντα καὶ παραινέσανθ’",ἐπιτιμήσαντα,συνειπόντα καὶ παραινέσανθ’,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,Comentar nível intermediário com xalepws einai,6,juridical,attic
